ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11453315,JB444812,09/21/2018 11:43:00 AM,004XX W 70TH ST,0880,THEFT,PURSE-SNATCHING,SIDEWALK,false,false,0732,007,6,68,06,1174724,1858517,2018,09/28/2018 04:05:23 PM,41.767160003,-87.635120381,"(41.767160003, -87.635120381)"
11856068,JC466855,10/09/2019 11:29:00 PM,032XX N DAMEN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,1921,019,32,5,05,1162444,1921477,2019,10/16/2019 04:15:04 PM,41.940193222,-87.678371495,"(41.940193222, -87.678371495)"
12181924,JD386006,08/27/2020 10:00:00 AM,052XX S JUSTINE ST,0810,THEFT,OVER $500,RESIDENCE,false,false,0934,009,16,61,06,1166894,1869963,2020,10/04/2020 03:47:07 PM,41.798740087,-87.663493739,"(41.798740087, -87.663493739)"
11479659,JB479715,10/17/2018 09:45:00 PM,110XX S ESMOND ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,true,2212,022,19,75,02,1166158,1831518,2018,10/24/2018 04:22:11 PM,41.693257177,-87.667284111,"(41.693257177, -87.667284111)"
12193469,JD399602,10/14/2020 07:00:00 PM,046XX N CLARK ST,0860,THEFT,RETAIL THEFT,COMMERCIAL / BUSINESS OFFICE,false,false,1912,019,47,3,06,1165506,1930838,2020,10/21/2020 03:54:00 PM,41.965815477,-87.666850116,"(41.965815477, -87.666850116)"
11848753,JC456892,09/29/2019 09:27:00 PM,001XX S WACKER DR,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,false,false,0122,001,42,32,26,1173889,1899510,2019,10/06/2019 04:07:52 PM,41.879667054,-87.63696315,"(41.879667054, -87.63696315)"
11786686,JC383368,08/07/2019 11:00:00 PM,011XX S INDEPENDENCE BLVD,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,true,false,1133,011,24,29,03,1151434,1894637,2019,09/07/2019 03:53:51 PM,41.866765373,-87.719542855,"(41.866765373, -87.719542855)"
11457756,JB450578,09/16/2018 03:00:00 PM,100XX W OHARE ST,5093,NON-CRIMINAL,LOST PASSPORT,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,false,false,1651,016,41,76,26,1100658,1934241,2018,09/28/2018 04:00:03 PM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
12168818,JD370722,09/17/2020 07:05:00 PM,008XX N MICHIGAN AVE,0558,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,DEPARTMENT STORE,true,false,1833,018,42,8,04A,1177338,1906160,2020,09/24/2020 03:49:27 PM,41.897837503,-87.624097243,"(41.897837503, -87.624097243)"
12197802,JD404584,10/18/2020 02:35:00 AM,038XX S WELLS ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA APARTMENT,true,false,0915,009,3,34,26,,,2020,10/25/2020 03:52:01 PM,,,
12189634,JD395145,10/09/2020 05:45:00 PM,012XX S WABASH AVE,0460,BATTERY,SIMPLE,GROCERY FOOD STORE,false,false,0131,001,3,33,08B,1176963,1894850,2020,10/16/2020 03:49:38 PM,41.866810739,-87.625817031,"(41.866810739, -87.625817031)"
11812404,JC414220,08/31/2019 12:17:00 AM,076XX S WENTWORTH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0623,006,17,69,15,1176265,1854551,2019,09/07/2019 04:00:40 PM,41.756242377,-87.629590935,"(41.756242377, -87.629590935)"
12158134,JD358937,09/06/2020 07:37:00 PM,021XX W 68TH PL,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE,false,false,0726,007,16,67,15,1163382,1859213,2020,09/13/2020 03:48:11 PM,41.769315054,-87.676674106,"(41.769315054, -87.676674106)"
11477673,JB477163,10/14/2018 07:30:00 PM,016XX W HOLLYWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2012,020,40,77,14,1164220,1937853,2018,10/21/2018 04:09:44 PM,41.985092247,-87.671379159,"(41.985092247, -87.671379159)"
